Location
"Kabul,Kabul,Afghanistan"
"Perth,Perth,Western Australia,Australia"
"Sydney,Sydney,New South Wales,Australia"
"Toowoomba,Toowoomba,Queensland,Australia"
"Townsville,Townsville,Queensland,Australia"
"Wollongong,Wollongong,New South Wales,Australia"
"Lima,Lima Province,Peru"
"Cusco,Cusco,Peru"
"Chiclayo,Lambayeque,Peru"
"Huancayo,Junin,Peru"
"Tacna,Tacna,Peru"
"Constitutional Province of Callao,Callao Region,Peru"
"Ica,Ica,Peru"
"Huanuco,Huanuco,Peru"
"Coronel Portillo,Ucayali,Peru"
"Tambopata,Madre de Dios,Peru"
"Zamboanga,Zamboanga Peninsula,Philippines"
"York,Toronto,Ontario,Canada"
"Ville-Marie,Ville-Marie,Quebec,Canada"
"Sindh,Pakistan"
"Yuhua District, Changsha,Hunan,China"
"Changsha,Changsha,Hunan,China"
"Lucheng District, Wenzhou,Zhejiang,China"
"Jinzhou,Dalian,Liaoning,China"
"Xigang District, Dalian,Liaoning,China"
"Xishan District, Wuxi,Jiangsu,China"
"Licheng District, Jinan,Shandong,China"
"Qiaoxi District, Shijiazhuang,Hebei,China"
"Hexi District, Tianjin,Tianjin,China"
"Xincheng District, Xi'an,Shaanxi,China"
"Heping District, Shenyang,Liaoning,China"
"Chaoyang District, Changchun,Jilin,China"
"Rakvere,Laane-Viru County,Estonia"
"Narva,Ida-Viru County,Estonia"
"Tartu,Tartu County,Estonia"
"Viljandi,Viljandi County,Estonia"
"Parnu,Parnu County,Estonia"
"Kuressaare,Saare County,Estonia"
"Harju County,Estonia"
"Larissa,Larissa,Thessalia,Greece"
"Heraklion,Heraklion,Crete,Greece"
"Kallithea,Kallithea,Attica,Greece"
"Athens,Athens,Attica,Greece"
"Thessaloniki,Thessaloniki,Central Macedonia,Greece"
"Lai Chi Kok,Kowloon,Hong Kong"
"Sai Wan,Hong Kong Island,Hong Kong"
"Vilnius,Vilnius County,Lithuania"
"Alytus,Alytus County,Lithuania"
"Marijampole,Marijampole County,Lithuania"
"Klaipeda,Klaipeda County,Lithuania"
"Siauliai,Siauliai County,Lithuania"
"Panevezys,Panevezys County,Lithuania"
"Jonava,Kaunas County,Lithuania"
"Utena County,Lithuania"
"Rezekne,Rezekne,Latvia"
"Daugavpils,Daugavpils,Latvia"
"Ogre,Ogre Municipality,Latvia"
"Jekabpils,Jekabpils,Latvia"
"Valmiera,Valmiera,Latvia"
"Riga,Riga,Latvia"
"Jurmala,Jurmala,Latvia"
"Jelgava,Jelgava,Latvia"
"Ventspils,Ventspils,Latvia"
"Liepaja,City of Liepaja,Latvia"
"Rezekne,Latvia"
"Mayaguez,Mayaguez,Puerto Rico"
"Arecibo,Arecibo,Puerto Rico"
"Guaynabo,Guaynabo,Puerto Rico"
"Caguas,Caguas,Puerto Rico"
"Trujillo Alto,Trujillo Alto,Puerto Rico"
"Bayamon,Bayamon,Puerto Rico"
"Ponce,Ponce,Puerto Rico"
"Novo mesto,Novo Mesto,Slovenia"
"Kamnik,Kamnik,Slovenia"
"Trbovlje,Municipality of Trbovlje,Slovenia"
"Celje,Celje,Celje,Slovenia"
"Ptuj,Ptuj,Slovenia"
"Maribor,Maribor,Administrative unit Maribor,Slovenia"
"Kranj,Kranj,Kranj,Slovenia"
"Koper,Koper,Koper,Slovenia"
"Maribor,Administrative unit Maribor,Slovenia"
"Kosice,Kosice Region,Slovakia"
"Trencin Region,Slovakia"
"Vanadzor,Lori Province,Armenia"
"Gyumri,Shirak Province,Armenia"
"Cazin,Una-Sana Canton,Bosnia and Herzegovina"
"Prijedor,Republika Srpska,Bosnia and Herzegovina"
"Siroki Brijeg,West Herzegovina Canton,Bosnia and Herzegovina"
"Mostar,Herzegovina-Neretva Canton,Bosnia and Herzegovina"
"Lida,Hrodna Region,Belarus"
"Pinsk,Brest Region,Belarus"
"Babruysk,Mogilev Region,Belarus"
"Kisumu,Kisumu County,Kenya"
"Sabah Al Salem,Mubarak Al-Kabeer Governorate,Kuwait"
"Taldykorgan,Almaty Province,Kazakhstan"
"Kyzylorda,Kyzylorda Province,Kazakhstan"
"Taraz,Jambyl Province,Kazakhstan"
"Karagandy,Karagandy Province,Kazakhstan"
"Aktobe,Aktobe Province,Kazakhstan"
"Balti,Balti,Moldova"
"Nuenen, Gerwen en Nederwetten,North Brabant,Netherlands"
"Dekkhina Thiri,Naypyidaw Union Territory,Myanmar (Burma)"
"Payathonzu,Kayin State,Myanmar (Burma)"
"Thaton,Mon State,Myanmar (Burma)"
"Myeik,Tanintharyi Region,Myanmar (Burma)"
"Rakhine,Myanmar (Burma)"
"Amarapura,Mandalay Region,Myanmar (Burma)"
"Pyay,Bago Region,Myanmar (Burma)"
"Myitkyina,Kachin,Myanmar (Burma)"
"Lashio,Shan,Myanmar (Burma)"
"Sagaing,Sagaing Region,Myanmar (Burma)"
"Pathein,Ayeyarwady,Myanmar (Burma)"
"Bukit Kayu Hitam,Bukit Kayu Hitam,Kedah,Malaysia"
"Kota Kinabalu,Kota Kinabalu,Sabah,Malaysia"
"Seksyen 9,Bandar Baru Bangi,Selangor,Malaysia"
"Cyberjaya,Cyberjaya,Selangor,Malaysia"
"Kuala Lumpur,Kuala Lumpur,Federal Territory of Kuala Lumpur, Malaysia"
"Kampung Tengah,Tanjong Karang,Selangor,Malaysia"
"Kampung Jenjarom,Jenjarom,Selangor,Malaysia"
"Parit Yaani,Yong Peng,Johor,Malaysia"
"Kampung Tengah,Banting,Selangor,Malaysia"
"Kuah,Kuah,Kedah,Malaysia"
"Kuala Selangor,Kuala Selangor,Selangor,Malaysia"
"Batu Caves,Batu Caves,Selangor,Malaysia"
"Kampung Tengah,Puchong,Selangor,Malaysia"
"Seremban,Seremban,Negeri Sembilan,Malaysia"
"Seksyen 8,Shah Alam,Selangor,Malaysia"
"Seksyen 14,Petaling Jaya,Selangor,Malaysia"
"Santa Ana,Manila,Metro Manila,Philippines"
"San Juan,Bulacan,Central Luzon,Philippines"
"Tabun,Mabalacat,Central Luzon,Philippines"
"San Jose,Cavite,Calabarzon,Philippines"
"San Juan,Pampanga,Central Luzon,Philippines"
"Dela Paz,Laguna,Calabarzon,Philippines"
"San Antonio,Bi√±an,Calabarzon,Philippines"
"San Antonio,Los Ba√±os,Calabarzon,Philippines"
"Santa Ana,Taguig,Metro Manila,Philippines"
"Binan,Binan,Calabarzon,Philippines"
"Tabun,Angeles,Central Luzon,Philippines"
"Malanday,Valenzuela,Metro Manila,Philippines"
"San Isidro,Antipolo,Calabarzon,Philippines"
"Malanday,Marikina,Metro Manila,Philippines"
"San Jose,Rizal,Calabarzon,Philippines"
"San Isidro,Taytay,Calabarzon,Philippines"
"Poblacion,Muntinlupa,Metro Manila,Philippines"
"Santo Nino,Paranaque,Metro Manila,Philippines"
"Poblacion,Makati,Metro Manila,Philippines"
"Ugong,Pasig,Metro Manila,Philippines"
"Krzyki,Krzyki,Lower Silesian Voivodeship,Poland"
"Psie Pole,Psie Pole,Lower Silesian Voivodeship,Poland"
"Bobo-Dioulasso,Hauts-Bassins Region,Burkina Faso"
"Ouagadougou,Centre Region,Burkina Faso"
"Praia,Praia,Cape Verde"
"Sidi Bel Abbes,Sidi Bel Abbes Province,Algeria"
"Tlemcen,Tlemcen Province,Algeria"
"Constantine,Constantine Province,Algeria"
"Paide,Jarva County,Estonia"
"Polva,Polva County,Estonia"
"Jogeva Parish,Jogeva County,Estonia"
"Saint George's,Saint George,Grenada"
"Kumasi,Ashanti Region,Ghana"
"Accra,Greater Accra Region,Ghana"
"Gibraltar,Gibraltar"
"Serrekunda,The Gambia"
"Conakry,Conakry,Guinea"
"Karditsa,Karditsa,Decentralized Administration of Thessaly and Central Greece,Greece"
"Ioannina,Ioannina,Decentralized Administration of Epirus and Western Macedonia,Greece"
"Arta,Arta,Decentralized Administration of Epirus and Western Macedonia,Greece"
"Corfu,Corfu,Decentralized Administration of Peloponnese, Western Greece and the Ionian,Greece"
"Drama,Drama,Decentralized Administration of Macedonia and Thrace,Greece"
"Trikala,Trikala,Thessalia,Greece"
"Grevena,Ipiros Ditiki Makedonia,Greece"
"Zakynthos,Zakynthos,Decentralized Administration of Peloponnese, Western Greece and the Ionian,Greece"
"Monrovia,Montserrado,Liberia"
"Maseru,Maseru,Lesotho"
"Madona,Madona Municipality,Latvia"
"Gevgelija,Municipality of Gevgelija,North Macedonia"
"Nouakchott,Mauritania"
"Chitre,Herrera Province,Panama"
"Lae,Morobe Province,Papua New Guinea"
"Aguadilla Pueblo,Aguadilla,Puerto Rico"
"Levittown,Toa Baja,Puerto Rico"
"Anadyr,Chukotka Autonomous Okrug,Russia"
"Visby,Gotland County,Sweden"
"Portoroz,Piran,Slovenia"
"Municipality of Komen,Sezana,Slovenia"
"Municipality of Rogaska Slatina,Smarje pri Jelsah,Slovenia"
"Municipality of Ivancna Gorica,Grosuplje,Slovenia"
"Freetown,Western Area,Sierra Leone"
"Saint Louis,Saint-Louis Region,Senegal"
"Dakar,Dakar Region,Senegal"
"Cockburn Town,Turks Islands,Turks and Caicos Islands"
"Christiansted,St. Croix,U.S. Virgin Islands"
"Woensdrecht,Woensdrecht,North Brabant,Netherlands"
"Weingarten,Karlsruhe,Baden-Wurttemberg,Germany"
"Barneveld,Barneveld,Gelderland,Netherlands"
"Auyuittuq National Park,Nunavut,Canada"
"Prince Edward Island National Park,Prince Edward Island,Canada"
"Polonnaruwa,North Central Province,Sri Lanka"
"Puttalam,North Western Province,Sri Lanka"
"Ratnapura,Sabaragamuwa Province,Sri Lanka"
"Dhaka District,Dhaka Division,Bangladesh"
"Chittagong District,Chittagong Division,Bangladesh"
"Sylhet District,Sylhet Division,Bangladesh"
"Bogra District,Rajshahi Division,Bangladesh"
"Dinajpur District,Rangpur Division,Bangladesh"
"Jessore District,Khulna Division,Bangladesh"
"Barisal District,Barisal Division,Bangladesh"
"Netrokona District,Mymensingh Division,Bangladesh"
"Quito,Pichincha,Ecuador"
"New Territories,Hong Kong"
"Decentralized Administration of Attica,Greece"
"Al Daayen,Qatar"
"Al Farwaniyah Governorate,Kuwait"
"Mogilev Region,Belarus"
"Bordj Bou Arreridj Province,Algeria"
"Dhofar Governorate,Oman"
"Elgeyo-Marakwet County,Kenya"
"Bocas del Toro Province,Panama"
"Nabatiyeh Governorate,Lebanon"
"Duarte Province,Dominican Republic"
"Western Province,Sri Lanka"
"Rajshahi Division,Bangladesh"
"El Progreso Department,Guatemala"
"Westfjords Region,Iceland"
"Jerash Governorate,Jordan"
"Southern Governorate,Bahrain"
"Eastern Region,Ghana"
"Shida Kartli,Georgia"
"Al Muthanna Governorate,Iraq"
"Hanover Parish,Jamaica"
"La Libertad Department,El Salvador"
"Soldanesti District,Moldova"
"Grande-Terre,Guadeloupe"
"Oddar Meanchey Province,Cambodia"
"Cortes Department,Honduras"
"Central Region,Uganda"
"Korce County,Albania"
"Savanne District,Mauritius"
"Nueva Segovia,Nicaragua"
"Central Development Region,Nepal"
"Mashonaland Central Province,Zimbabwe"
"Herceg Novi Municipality,Montenegro"
"Copperbelt Province,Zambia"
"Lori Province,Armenia"
"Ziguinchor,Senegal"
"West,Cameroon"
"Khomas Region,Namibia"
"Benguela Province,Angola"
"Niassa Province,Mozambique"
"Belait District,Brunei"
"South-East District,Botswana"
"Nord-Est Department,Haiti"
"Ghat District,Libya"
"Prizren District,Kosovo"
"Smiths Parish,Bermuda"
"Fianarantsoa Province,Madagascar"
"Western Province,Rwanda"
"Bolikhamsai Province,Laos"
"Raymah Governorate,Yemen"
"Stann Creek District,Belize"
"Zou Department,Benin"
"Segou Region,Mali"
"Caicos Islands,Turks and Caicos Islands"
"Sud-Ouest Region,Burkina Faso"
"Sermersooq Municipality,Greenland"
"Savanes Region,Togo"
"Shiselweni Region,Eswatini"
"Khatlon Province,Tajikistan"
"Dosso Region,Niger"
"Oued Ed-Dahab-Lagouira,Western Sahara"
"Cartago Province,Costa Rica"
"Savanes District,Cote d'Ivoire"
"Talas Region,Kyrgyzstan"
"La Boca,Buenos Aires,Argentina"
"Helsinki,Helsinki,Uusimaa,Finland"
"Manokwari,West Papua,Indonesia"
"Kuta,Kuta,Bali,Indonesia"
"Depok,Cirebon,West Java,Indonesia"
"Ternate,North Maluku,Indonesia"
"Baram,Bahagian Betong,Sarawak,Malaysia"
"Zarumilla Province,Tumbes,Peru"
"Lima District,Lima Region,Peru"
"Daniel Alcides Carrion Province,Pasco,Peru"
"Tayacaja Province,Huancavelica,Peru"
"Chincheros Province,Apurimac,Peru"
"General Sanchez Cerro Province,Moquegua,Peru"
"Alto Amazonas Province,Loreto,Peru"
"Surat Thani,Surat Thani,Thailand"
"Mae Sot,Tak,Thailand"
"Nakhon Sawan,Nakhon Sawan,Thailand"
"Rayong,Rayong,Thailand"
"Chanthaburi,Chanthaburi,Thailand"
"Sakhon Nakhon,Sakon Nakhon,Thailand"
"Tamsui District,New Taipei City,Taiwan"
"Abomey Calavi,Atlantique Department,Benin"
"Porto-Novo,Oueme Department,Benin"
"Bouake,Vallee du Bandama District,Cote d'Ivoire"
"Buea,Southwest,Cameroon"
"Bechar,Bechar Province,Algeria"
"Bir El Djir,Oran Province,Algeria"
"Blida,Blida Province,Algeria"
"Bouira,Bouira Province,Algeria"
"Chlef,Chlef Province,Algeria"
"Djelfa,Djelfa Province,Algeria"
"El Oued,El Oued Province,Algeria"
"Laghouat,Laghouat Province,Algeria"
"Thenia,Boumerdes Province,Algeria"
"Tizi Ouzou,Tizi Ouzou Province,Algeria"
"Desouk,Desouk,Kafr El Sheikh Governorate,Egypt"
"Sekondi-Takoradi,Western Region,Ghana"
"Tamale,Northern Region,Ghana"
"Athi River,Machakos County,Kenya"
"Juja,Kiambu County,Kenya"
"Nyeri,Nyeri County,Kenya"
"Khoms,Murqub District,Libya"
"Az-Zawiyah,Zawiya District,Libya"
"Benghazi,Benghazi district,Libya"
"Misrata,Misrata District,Libya"
"Sabha,Sabha District,Libya"
"Beau Bassin-Rose Hill,Plaines Wilhems District,Mauritius"
"Flic en Flac,Riviere Noire District,Mauritius"
"Grand Baie,Riviere du Rempart District,Mauritius"
"Moka,Moka District,Mauritius"
"Plaine Magnien,Grand Port District,Mauritius"
"Thies,Thies Region,Senegal"
"Hammamet,Nabeul,Tunisia"
"Sfax,Sfax,Tunisia"
"Sousse,Sousse,Tunisia"
"Dodoma,Dodoma Region,Tanzania"
"Mbeya,Mbeya Region,Tanzania"
"Morogoro,Morogoro Region,Tanzania"
"Zanzibar,Mjini Magharibi Region,Tanzania"
"Guasave,Guasave,Sinaloa,Mexico"
"Huauchinango,Huauchinango,Puebla,Mexico"
"Tijuana,Tijuana,Baja California,Mexico"
"Santa Catarina,Santa Catarina,Nuevo Leon,Mexico"
"La Paz,La Paz,State of Mexico,Mexico"
"Tecate,Tecate,Baja California,Mexico"
"Montemorelos,Montemorelos,Nuevo Leon,Mexico"
"San Pedro Garza Garcia,San Pedro Garza Garcia,Nuevo Leon,Mexico"
"Cocoyoc, Morelos,Morelos,Mexico"
"Patzcuaro,Patzcuaro,Michoacan,Mexico"
"San Martin de las Piramides,San Martin de las Piramides,State of Mexico,Mexico"
"Saltillo,Saltillo,Coahuila,Mexico"
"Hung Yen,Hung Yen,Vietnam"
"Tan Uyen,Binh Duong,Vietnam"
"Quang Yen,Quang Ninh,Vietnam"
"Gia Nghia,Dak Nong,Vietnam"
"Bac Lieu,Bac Lieu,Vietnam"
"Yen Bai,Yen Bai,Vietnam"
"Phuoc Long,Binh Phuoc,Vietnam"
"Phu Tho,Phu Tho Province,Vietnam"
"Cao Bang,Cao Bang,Vietnam"
"Vinh Long,Vinh Long,Vietnam"
"Lao Cai,Lao Cai,Vietnam"
"Vinh Yen,Vinh Phuc Province,Vietnam"
"Phu Ly,Ha Nam,Vietnam"
"Hoa Binh,Hoa Binh,Vietnam"
"Bac Ninh,Bac Ninh Province,Vietnam"
"Bac Kan,Bac Kan Province,Vietnam"
"Son La,Son La,Vietnam"
"Kien Tuong,Long An Province,Vietnam"
"Djien Bien Phu,Dien Bien,Vietnam"
"Bac Giang,Bac Giang,Vietnam"
"Lai Chau,Lai Chau,Vietnam"
"Tay Ninh,Tay Ninh Province,Vietnam"
"Ben Tre,Ben Tre,Vietnam"
"Mirassol,Mirassol,State of Sao Paulo,Brazil"
"Lavras,Lavras,State of Minas Gerais,Brazil"
"Carazinho,Carazinho,State of Rio Grande do Sul,Brazil"
"Itatiba,Itatiba,State of Sao Paulo,Brazil"
"Aquiraz,Aquiraz,State of Ceara,Brazil"
"Cajati,Cajati,State of Sao Paulo,Brazil"
"Penha,Penha,State of Santa Catarina,Brazil"
"Concordia,Concordia,State of Santa Catarina,Brazil"
"Sao Jose de Mipibu,Sao Jose de Mipibu,State of Rio Grande do Norte,Brazil"
"Rio Grande,Rio Grande,State of Rio Grande do Sul,Brazil"
"Guaratuba,Guaratuba,State of Parana,Brazil"
"Nova Odessa,Nova Odessa,State of Sao Paulo,Brazil"
"Aracati,Aracati,State of Ceara,Brazil"
"Moji-Mirim,Moji-Mirim,State of Sao Paulo,Brazil"
"Presidente Venceslau,Presidente Venceslau,State of Sao Paulo,Brazil"
"Mateus Leme,Mateus Leme,State of Minas Gerais,Brazil"
"Matao,Matao,State of Sao Paulo,Brazil"
"Batatais,Batatais,State of Sao Paulo,Brazil"
"Aracoiaba da Serra,Aracoiaba da Serra,State of Sao Paulo,Brazil"
"Votorantim,Votorantim,State of Sao Paulo,Brazil"
"Goiana,Goiana,State of Pernambuco,Brazil"
"Porto Belo,Porto Belo,State of Santa Catarina,Brazil"
"Campina Grande do Sul,Campina Grande do Sul,State of Parana,Brazil"
"Mairinque,Mairinque,State of Sao Paulo,Brazil"
"Penapolis,Penapolis,State of Sao Paulo,Brazil"
"Pederneiras,Pederneiras,State of Sao Paulo,Brazil"
"Silva Jardim,Silva Jardim,State of Rio de Janeiro,Brazil"
"Limeira,Limeira,State of Sao Paulo,Brazil"
"Cornelio Procopio,Cornelio Procopio,State of Parana,Brazil"
"Olimpia,Olimpia,State of Sao Paulo,Brazil"
"Cachoeira Paulista,Cachoeira Paulista,State of Sao Paulo,Brazil"
"Barra do Pirai,Barra do Pirai,State of Rio de Janeiro,Brazil"
"Castro,Castro,State of Parana,Brazil"
"Taquaritinga,Taquaritinga,State of Sao Paulo,Brazil"
"Pirassununga,Pirassununga,State of Sao Paulo,Brazil"
"Matozinhos,Matozinhos,State of Minas Gerais,Brazil"
"Jaguariuna,Jaguariuna,State of Sao Paulo,Brazil"
"Rio Largo,Rio Largo,State of Alagoas,Brazil"
"Ubatuba,Ubatuba,State of Sao Paulo,Brazil"
"Moreno,Moreno,State of Pernambuco,Brazil"
"Mandaguari,Mandaguari,State of Parana,Brazil"
"Aracruz,Aracruz,State of Espirito Santo,Brazil"
"Ibiuna,Ibiuna,State of Sao Paulo,Brazil"
"Perdoes,Perdoes,State of Minas Gerais,Brazil"
"Tres Coracoes,Tres Coracoes,State of Minas Gerais,Brazil"
"Estancia,Estancia,State of Sergipe,Brazil"
"Jacarei,Jacarei,State of Sao Paulo,Brazil"
"Promissao,Promissao,State of Sao Paulo,Brazil"
"Pindamonhangaba,Pindamonhangaba,State of Sao Paulo,Brazil"
"Capivari,Capivari,State of Sao Paulo,Brazil"
"Extrema,Extrema,State of Minas Gerais,Brazil"
"Venancio Aires,Venancio Aires,State of Rio Grande do Sul,Brazil"
"Ilheus,Ilheus,State of Bahia,Brazil"
"Sao Francisco do Sul,Sao Francisco do Sul,State of Santa Catarina,Brazil"
"Paranagua,Paranagua,State of Parana,Brazil"
"Monte Mor,Monte Mor,State of Sao Paulo,Brazil"
"Paraty,Paraty,State of Rio de Janeiro,Brazil"
"Santo Antonio da Patrulha,Santo Antonio da Patrulha,State of Rio Grande do Sul,Brazil"
"Bom Despacho,Bom Despacho,State of Minas Gerais,Brazil"
"Morrinhos,Morrinhos,State of Goias,Brazil"
"Camacari,Camacari,State of Bahia,Brazil"
"Avare,Avare,State of Sao Paulo,Brazil"
"Trindade,Trindade,State of Goias,Brazil"
"Cosmopolis,Cosmopolis,State of Sao Paulo,Brazil"
"Rolandia,Rolandia,State of Parana,Brazil"
"Guararapes,Guararapes,State of Sao Paulo,Brazil"
"Valinhos,Valinhos,State of Sao Paulo,Brazil"
"Jose Bonifacio,Jose Bonifacio,State of Sao Paulo,Brazil"
"Itatiaia,Itatiaia,State of Rio de Janeiro,Brazil"
"Ouro Preto,Ouro Preto,State of Minas Gerais,Brazil"
"Paraguacu Paulista,Paraguacu Paulista,State of Sao Paulo,Brazil"
"Sao Joaquim da Barra,Sao Joaquim da Barra,State of Sao Paulo,Brazil"
"Brotas,Brotas,State of Sao Paulo,Brazil"
"Pirai,Pirai,State of Rio de Janeiro,Brazil"
"Orlandia,Orlandia,State of Sao Paulo,Brazil"
"Santo Antonio do Descoberto,Santo Antonio do Descoberto,State of Goias,Brazil"
"Santa Isabel,Santa Isabel,State of Sao Paulo,Brazil"
"Itupeva,Itupeva,State of Sao Paulo,Brazil"
"Porto Feliz,Porto Feliz,State of Sao Paulo,Brazil"
"Mococa,Mococa,State of Sao Paulo,Brazil"
"Osorio,Osorio,State of Rio Grande do Sul,Brazil"
"Ibitinga,Ibitinga,State of Sao Paulo,Brazil"
"Sao Roque,Sao Roque,State of Sao Paulo,Brazil"
"Artur Nogueira,Artur Nogueira,State of Sao Paulo,Brazil"
"Casimiro de Abreu,Casimiro de Abreu,State of Rio de Janeiro,Brazil"
"Jandira,Jandira,State of Sao Paulo,Brazil"
"Garibaldi,Garibaldi,State of Rio Grande do Sul,Brazil"
"Garca,Garca,State of Sao Paulo,Brazil"
"Simoes Filho,Simoes Filho,State of Bahia,Brazil"
"Vinhedo,Vinhedo,State of Sao Paulo,Brazil"
"Piedade,Piedade,State of Sao Paulo,Brazil"
"Sao Pedro,Sao Pedro,State of Sao Paulo,Brazil"
"Manhuacu,Manhuacu,State of Minas Gerais,Brazil"
"Torres,Torres,State of Rio Grande do Sul,Brazil"
"Pedro Leopoldo,Pedro Leopoldo,State of Minas Gerais,Brazil"
"Boituva,Boituva,State of Sao Paulo,Brazil"
"Pontal do Parana,Pontal do Parana,State of Parana,Brazil"
"Santa Cruz do Rio Pardo,Santa Cruz do Rio Pardo,State of Sao Paulo,Brazil"
"Maranguape,Maranguape,State of Ceara,Brazil"
"Araguari,Araguari,State of Minas Gerais,Brazil"
"Agudos,Agudos,State of Sao Paulo,Brazil"
"Cravinhos,Cravinhos,State of Sao Paulo,Brazil"
"Cristalina,Cristalina,State of Goias,Brazil"
"Marialva,Marialva,State of Parana,Brazil"
"Sabara,Sabara,State of Minas Gerais,Brazil"
"Itabirito,Itabirito,State of Minas Gerais,Brazil"
"Itaguai,Itaguai,State of Rio de Janeiro,Brazil"
"Quatro Barras,Quatro Barras,State of Parana,Brazil"
"Candeias,Candeias,State of Bahia,Brazil"
"Sao Manuel,Sao Manuel,State of Sao Paulo,Brazil"
"Montenegro,Montenegro,State of Rio Grande do Sul,Brazil"
"Bayeux,Bayeux,State of Paraiba,Brazil"
"Ibate,Ibate,State of Sao Paulo,Brazil"
"Santana do Livramento,Santana do Livramento,State of Rio Grande do Sul,Brazil"
"Mairipora,Mairipora,State of Sao Paulo,Brazil"
"Carambei,Carambei,State of Parana,Brazil"
"Camanducaia,Camanducaia,State of Minas Gerais,Brazil"
"Assu,Assu,State of Rio Grande do Norte,Brazil"
"Porto Seguro,Porto Seguro,State of Bahia,Brazil"
"Alem Paraiba,Alem Paraiba,State of Minas Gerais,Brazil"
"Santa Gertrudes,Santa Gertrudes,State of Sao Paulo,Brazil"
"Macaiba,Macaiba,State of Rio Grande do Norte,Brazil"
"Ibipora,Ibipora,State of Parana,Brazil"
"Tremembe,Tremembe,State of Sao Paulo,Brazil"
"Franco da Rocha,Franco da Rocha,State of Sao Paulo,Brazil"
"Mogi das Cruzes,Mogi das Cruzes,State of Sao Paulo,Brazil"
"Arraial do Cabo,Arraial do Cabo,State of Rio de Janeiro,Brazil"
"Resende,Resende,State of Rio de Janeiro,Brazil"
"Timon,Timon,State of Maranhao,Brazil"
"Araruama,Araruama,State of Rio de Janeiro,Brazil"
"Cambui,Cambui,State of Minas Gerais,Brazil"
"Caratinga,Caratinga,State of Minas Gerais,Brazil"
"Don Krabueang,Ratchaburi,Thailand"
"Tha Yang,Phetchaburi,Thailand"
"Khlong Yai,Nakhon Nayok,Thailand"
"Si Maha Phot,Prachin Buri,Thailand"
"Bang Kaeo,Samut Songkhram,Thailand"
"Khuha Sawan,Phatthalung,Thailand"
"Wang Phai,Chumphon,Thailand"
"Nok Mueang,Surin,Thailand"
"In Buri,Sing Buri,Thailand"
"Tha Phi Liang,Suphan Buri,Thailand"
"Pak Phraek,Kanchanaburi,Thailand"
"Chong Sarika,Lopburi,Thailand"
"Lak Fa,Ang Thong,Thailand"
"Pak Nam,Krabi,Thailand"
"Isan,Buri Ram,Thailand"
"Hang Nam Sakhon,Chai Nat,Thailand"
"Mueang Tai,Si Sa Ket,Thailand"
"Nai Mueang,Phetchabun,Thailand"
"Umong,Lamphun,Thailand"
"Tha It,Uttaradit,Thailand"
"Nai Mueang,Chaiyaphum,Thailand"
"Nakhon Chum,Kamphaeng Phet,Thailand"
"Nai Mueang,Roi Et,Thailand"
"Talat,Maha Sarakham,Thailand"
"Garcia,Garcia,Nuevo Leon,Mexico"
"Canillo,Andorra"
"Jowzjan,Afghanistan"
"Saint Peter,Antigua and Barbuda"
"Bujumbura Mairie,Burundi"
"Sint Eustatius,Caribbean Netherlands"
"North Andros,The Bahamas"
"Paro,Bhutan"
"Nana-Mambere,Central African Republic"
"Lekoumou,Republic of the Congo"
"Ribeira Grande,Cape Verde"
"Arta,Djibouti"
"Saint George Parish,Dominica"
"Central,Eritrea"
"Tigray,Ethiopia"
"Southern Nations, Nationalities, and People's Region,Ethiopia"
"Central Division,Fiji"
"Ogooue-Ivindo,Gabon"
"Carriacou and Petite Martinique,Grenada"
"Arrondissement of Cayenne,French Guiana"
"Conakry,Guinea"
"Litoral,Equatorial Guinea"
"Decentralized Administration of Peloponnese, Western Greece and the Ionian,Greece"
"Bafata,Guinea-Bissau"
"Cuyuni-Mazaruni,Guyana"
"Montserrado,Liberia"
"Berea,Lesotho"
"Municipality of Karbinci,North Macedonia"
"Tov,Mongolia"
"Fort-de-France,Martinique"
"Male,Maldives"
"Northern Region,Malawi"
"Morobe Province,Papua New Guinea"
"Saint-Benoit,Reunion"
"Western Area,Sierra Leone"
"Domagnano,San Marino"
"Shabeellaha Hoose,Somalia"
"Dili,Timor-Leste"
"Ahal,Turkmenistan"
"Ariana,Tunisia"
"Penal/Debe Regional Corporation,Trinidad and Tobago"
"Bukhara Region,Uzbekistan"
"Grenadines,Saint Vincent and the Grenadines"
"Ouangani,Mayotte"
"Vladimirovac,Vojvodina,Serbia"
"Caranavi,La Paz Department,Bolivia"
"Ou Sampor,Banteay Meanchey Province,Cambodia"
"Camiri,Santa Cruz Department,Bolivia"
"San Pablo,Santa Elena,Ecuador"
"Santa,Santa,Ancash,Peru"
"Tamboril,Santiago Province,Dominican Republic"
"Zaragoza,Chimaltenango Department,Guatemala"
"Villamontes,Tarija Department,Bolivia"
"Chimore,Cochabamba Department,Bolivia"
"Tarabuco,Chuquisaca Department,Bolivia"
"Teculutan,Zacapa Department,Guatemala"
"Puyo,Pastaza,Ecuador"
"Mao,Valverde Province,Dominican Republic"
"Pantoja,Santo Domingo Province,Dominican Republic"
"Houmt Souk,Medenine,Tunisia"
"Reyes,Beni Department,Bolivia"
"Pachalum,Baja Verapaz Department,Guatemala"
"Kairouan,Kairouan,Tunisia"
"Nueva Concepcion,Escuintla Department,Guatemala"
"Pastores,Sacatepequez Department,Guatemala"
